country,year,region,income,death
"Korea, Dem. Rep.",1966,East Asia & Pacific,0,11.847
"Korea, Dem. Rep.",1967,East Asia & Pacific,0,11.247
"Korea, Dem. Rep.",1968,East Asia & Pacific,0,10.654
"Korea, Dem. Rep.",1969,East Asia & Pacific,0,10.082
"Korea, Dem. Rep.",1970,East Asia & Pacific,0,9.538
"Korea, Dem. Rep.",1971,East Asia & Pacific,0,9.027
"Korea, Dem. Rep.",1972,East Asia & Pacific,0,8.544
"Korea, Dem. Rep.",1973,East Asia & Pacific,0,8.092
"Korea, Dem. Rep.",1974,East Asia & Pacific,0,7.676
"Korea, Dem. Rep.",1975,East Asia & Pacific,0,7.307
"Korea, Dem. Rep.",1976,East Asia & Pacific,0,6.996
"Korea, Dem. Rep.",1977,East Asia & Pacific,0,6.744
"Korea, Dem. Rep.",1978,East Asia & Pacific,0,6.551
"Korea, Dem. Rep.",1979,East Asia & Pacific,0,6.412
"Korea, Dem. Rep.",1980,East Asia & Pacific,0,6.319
"Korea, Dem. Rep.",1981,East Asia & Pacific,0,6.264
"Korea, Dem. Rep.",1982,East Asia & Pacific,0,6.234
"Korea, Dem. Rep.",1983,East Asia & Pacific,0,6.214
"Korea, Dem. Rep.",1984,East Asia & Pacific,0,6.197
"Korea, Dem. Rep.",1985,East Asia & Pacific,0,6.162
"Korea, Dem. Rep.",1986,East Asia & Pacific,0,6.09
"Korea, Dem. Rep.",1987,East Asia & Pacific,0,5.984
"Korea, Dem. Rep.",1988,East Asia & Pacific,0,5.86
"Korea, Dem. Rep.",1989,East Asia & Pacific,0,5.742
"Korea, Dem. Rep.",1990,East Asia & Pacific,0,5.689
"Korea, Dem. Rep.",1991,East Asia & Pacific,0,5.772
"Korea, Dem. Rep.",1992,East Asia & Pacific,0,6.026
"Korea, Dem. Rep.",1993,East Asia & Pacific,0,6.453
"Korea, Dem. Rep.",1994,East Asia & Pacific,0,7.024
"Korea, Dem. Rep.",1995,East Asia & Pacific,0,7.665
"Korea, Dem. Rep.",1996,East Asia & Pacific,0,8.274
"Korea, Dem. Rep.",1997,East Asia & Pacific,0,8.758
"Korea, Dem. Rep.",1998,East Asia & Pacific,0,9.059
"Korea, Dem. Rep.",1999,East Asia & Pacific,0,9.164
"Korea, Dem. Rep.",2000,East Asia & Pacific,0,9.098
"Korea, Dem. Rep.",2001,East Asia & Pacific,0,8.926
"Korea, Dem. Rep.",2002,East Asia & Pacific,0,8.739
"Korea, Dem. Rep.",2003,East Asia & Pacific,0,8.608
"Korea, Dem. Rep.",2004,East Asia & Pacific,0,8.56
"Korea, Dem. Rep.",2005,East Asia & Pacific,0,8.598
"Korea, Dem. Rep.",2006,East Asia & Pacific,0,8.702
"Korea, Dem. Rep.",2007,East Asia & Pacific,0,8.828
"Korea, Dem. Rep.",2008,East Asia & Pacific,0,8.94
"Korea, Dem. Rep.",2009,East Asia & Pacific,0,9.028
"Korea, Dem. Rep.",2010,East Asia & Pacific,0,9.089
"Korea, Dem. Rep.",2011,East Asia & Pacific,0,9.129
"Korea, Dem. Rep.",2012,East Asia & Pacific,0,9.163
"Korea, Dem. Rep.",2013,East Asia & Pacific,0,9.201
"Korea, Rep.",1960,East Asia & Pacific,3,14.344
"Korea, Rep.",1961,East Asia & Pacific,3,13.824
"Korea, Rep.",1962,East Asia & Pacific,3,13.261
"Korea, Rep.",1963,East Asia & Pacific,3,12.665
"Korea, Rep.",1964,East Asia & Pacific,3,12.053
"Korea, Rep.",1965,East Asia & Pacific,3,11.438
"Korea, Rep.",1966,East Asia & Pacific,3,10.831
"Korea, Rep.",1967,East Asia & Pacific,3,10.244
"Korea, Rep.",1968,East Asia & Pacific,3,9.688
"Korea, Rep.",1969,East Asia & Pacific,3,9.174
"Korea, Rep.",1970,East Asia & Pacific,3,8
"Korea, Rep.",1971,East Asia & Pacific,3,7.2
"Korea, Rep.",1972,East Asia & Pacific,3,6.3
"Korea, Rep.",1973,East Asia & Pacific,3,7.8
"Korea, Rep.",1974,East Asia & Pacific,3,7.2
"Korea, Rep.",1975,East Asia & Pacific,3,7.7
"Korea, Rep.",1976,East Asia & Pacific,3,7.4
"Korea, Rep.",1977,East Asia & Pacific,3,6.8
"Korea, Rep.",1978,East Asia & Pacific,3,6.8
"Korea, Rep.",1979,East Asia & Pacific,3,6.4
"Korea, Rep.",1980,East Asia & Pacific,3,7.3
"Korea, Rep.",1981,East Asia & Pacific,3,6.1
"Korea, Rep.",1982,East Asia & Pacific,3,6.2
"Korea, Rep.",1983,East Asia & Pacific,3,6.4
"Korea, Rep.",1984,East Asia & Pacific,3,5.9
"Korea, Rep.",1985,East Asia & Pacific,3,5.9
"Korea, Rep.",1986,East Asia & Pacific,3,5.8
"Korea, Rep.",1987,East Asia & Pacific,3,5.9
"Korea, Rep.",1988,East Asia & Pacific,3,5.6
"Korea, Rep.",1989,East Asia & Pacific,3,5.6
"Korea, Rep.",1990,East Asia & Pacific,3,5.6
"Korea, Rep.",1991,East Asia & Pacific,3,5.6
"Korea, Rep.",1992,East Asia & Pacific,3,5.4
"Korea, Rep.",1993,East Asia & Pacific,3,5.2
"Korea, Rep.",1994,East Asia & Pacific,3,5.4
"Korea, Rep.",1995,East Asia & Pacific,3,5.3
"Korea, Rep.",1996,East Asia & Pacific,3,5.2
"Korea, Rep.",1997,East Asia & Pacific,3,5.2
"Korea, Rep.",1998,East Asia & Pacific,3,5.2
"Korea, Rep.",1999,East Asia & Pacific,3,5.2
"Korea, Rep.",2000,East Asia & Pacific,3,5.2
"Korea, Rep.",2001,East Asia & Pacific,3,5
"Korea, Rep.",2002,East Asia & Pacific,3,5.1
"Korea, Rep.",2003,East Asia & Pacific,3,5.1
"Korea, Rep.",2004,East Asia & Pacific,3,5
"Korea, Rep.",2005,East Asia & Pacific,3,5
"Korea, Rep.",2006,East Asia & Pacific,3,5
"Korea, Rep.",2007,East Asia & Pacific,3,5
"Korea, Rep.",2008,East Asia & Pacific,3,5
"Korea, Rep.",2009,East Asia & Pacific,3,5
"Korea, Rep.",2010,East Asia & Pacific,3,5.1
"Korea, Rep.",2011,East Asia & Pacific,3,5.1
"Korea, Rep.",2012,East Asia & Pacific,3,5.3
"Korea, Rep.",2013,East Asia & Pacific,3,5.3
Mongolia,1960,East Asia & Pacific,1,19.856
Mongolia,1961,East Asia & Pacific,1,19.382
Mongolia,1962,East Asia & Pacific,1,18.881
Mongolia,1963,East Asia & Pacific,1,18.365
Mongolia,1964,East Asia & Pacific,1,17.845
Mongolia,1965,East Asia & Pacific,1,17.328
Mongolia,1966,East Asia & Pacific,1,16.818
Mongolia,1967,East Asia & Pacific,1,16.315
Mongolia,1968,East Asia & Pacific,1,15.824
Mongolia,1969,East Asia & Pacific,1,15.354
Mongolia,1970,East Asia & Pacific,1,14.918
Mongolia,1971,East Asia & Pacific,1,14.528
Mongolia,1972,East Asia & Pacific,1,14.189
Mongolia,1973,East Asia & Pacific,1,13.901
Mongolia,1974,East Asia & Pacific,1,13.661
Mongolia,1975,East Asia & Pacific,1,13.469
Mongolia,1976,East Asia & Pacific,1,13.318
Mongolia,1977,East Asia & Pacific,1,13.197
Mongolia,1978,East Asia & Pacific,1,13.088
Mongolia,1979,East Asia & Pacific,1,12.979
Mongolia,1980,East Asia & Pacific,1,12.851
Mongolia,1981,East Asia & Pacific,1,12.689
Mongolia,1982,East Asia & Pacific,1,12.489
Mongolia,1983,East Asia & Pacific,1,12.248
Mongolia,1984,East Asia & Pacific,1,11.967
Mongolia,1985,East Asia & Pacific,1,11.655
Mongolia,1986,East Asia & Pacific,1,11.322
Mongolia,1987,East Asia & Pacific,1,10.985
Mongolia,1988,East Asia & Pacific,1,10.658
Mongolia,1989,East Asia & Pacific,1,10.348
Mongolia,1990,East Asia & Pacific,1,10.058
Mongolia,1991,East Asia & Pacific,1,9.79
Mongolia,1992,East Asia & Pacific,1,9.536
Mongolia,1993,East Asia & Pacific,1,9.29
Mongolia,1994,East Asia & Pacific,1,9.052
Mongolia,1995,East Asia & Pacific,1,8.818
Mongolia,1996,East Asia & Pacific,1,8.585
Mongolia,1997,East Asia & Pacific,1,8.352
Mongolia,1998,East Asia & Pacific,1,8.123
Mongolia,1999,East Asia & Pacific,1,7.899
Mongolia,2000,East Asia & Pacific,1,7.686
Mongolia,2001,East Asia & Pacific,1,7.491
Mongolia,2002,East Asia & Pacific,1,7.319
Mongolia,2003,East Asia & Pacific,1,7.174
Mongolia,2004,East Asia & Pacific,1,7.056
Mongolia,2005,East Asia & Pacific,1,6.967
Mongolia,2006,East Asia & Pacific,1,6.904
Mongolia,2007,East Asia & Pacific,1,6.862
Mongolia,2008,East Asia & Pacific,1,6.835
Mongolia,2009,East Asia & Pacific,1,6.818
Mongolia,2010,East Asia & Pacific,1,6.807
Mongolia,2011,East Asia & Pacific,1,6.798
Mongolia,2012,East Asia & Pacific,1,6.791
Mongolia,2013,East Asia & Pacific,1,6.784
Myanmar,1960,East Asia & Pacific,0,21.793
Myanmar,1961,East Asia & Pacific,0,21.184
Myanmar,1962,East Asia & Pacific,0,20.536
Myanmar,1963,East Asia & Pacific,0,19.83
